Projeto:,Avaliador 1:,Avaliador 2:
producao de nanobastoes de oxidos de ferro dopados com cerio e lantanio,JOSILENE DE ASSIS CAVALCANTE,VERUSCKA ARAUJO SILVA
desenvolvimento de um processo para a producao de quartzo de elevada pureza,ALFREDO ISMAEL CURBELO GARNICA,RENNIO FELIX DE SENA
abordagens inovadoras em sistemas de drenagem urbana,CLAUDIA COUTINHO NOBREGA,GILSON BARBOSA ATHAYDE JUNIOR
analise da vazao de diluicao de efluentes industriais em corpos hidricos: o caso do riacho mussure na bacia hidrografica do rio gramame - joao pessoa/pb,ELISANGELA MARIA RODRIGUES ROCHA,GILSON BARBOSA ATHAYDE JUNIOR
utilizacao da ferramenta analise de sustentabilidade de analise de ciclo de vida (ascv) para a avaliacao do programa de coleta seletiva na cidade de joao pessoa/pb - brasil.,ELISANGELA MARIA RODRIGUES ROCHA,GILSON BARBOSA ATHAYDE JUNIOR
fotocatalise solar: aplicacao no tratamento de efluentes recalcitrantes,GILSON BARBOSA ATHAYDE JUNIOR,TARCISO CABRAL DA SILVA
gestao sustentavel da agua: alternativas de descontaminacao de efluentes com vistas ao reuso de agua.,ADRIANO ROLIM DA PAZ,LEONARDO VIEIRA SOARES
categorizacao funcional de moleculas de rnas nao-codificantes usando algoritmos de clusterizacao,BERNARDINA MARIA JUVENAL FREIRE DE OLIVEIRA,TIAGO PEREIRA DO NASCIMENTO
tratamento e analise de indicadores de saneamento do snis,CLAUDIA COUTINHO NOBREGA,ELISANGELA MARIA RODRIGUES ROCHA
uso de esgotos domesticos tratados em lagoas de estabilizacao no municipio de joao pessoa - pb: estudos de viabilidade e aplicacoes praticas,ADRIANO ROLIM DA PAZ,ELISANGELA MARIA RODRIGUES ROCHA
novas formulacoes para calculo do escoamento uniforme em canais rugosos considerando os efeitos de forma,ADRIANO ROLIM DA PAZ,LEONARDO VIEIRA SOARES
mapeamento e classificacao da estrutura do rio jaguaribe /pb baseado em indices hidromorfologicos e de qualidade da agua,ADRIANO ROLIM DA PAZ,LEONARDO VIEIRA SOARES
algoritmos eficientes para resolucao de problemas de otimizacao nas areas de gestao da producao e logistica,LUIZ BUENO DA SILVA,LUIZ MOREIRA COELHO JUNIOR
vantagem competitiva em empresas interconectadas em um arranjo produtivo local do estado da paraiba: uma analise segundo a visao relacional e a visao baseada em recursos estendida,LUIZ BUENO DA SILVA,MONICA CARVALHO
estudo sobre o potencial e a aplicacao de praticas de producao enxuta em operacoes de servicos,ANAND SUBRAMANIAN,LUIZ MOREIRA COELHO JUNIOR
estruturacao de um modelo de referencia para o desenvolvimento enxuto de produtos alimenticios,CLAUDIA FABIANA GOHR,LUIZ MOREIRA COELHO JUNIOR
"mudancas climaticas e a elevacao da temperatura: implicacoes no conforto, na saude e no desempenho de alunos em ambientes de ensino inteligentes (news ict) em areas das regioes brasileiras",LUCIANO COSTA SANTOS,LUIZ MOREIRA COELHO JUNIOR
analise da concentracao energetica nas industrias brasileiras,LUCIANO COSTA SANTOS,MONICA CARVALHO
controle de formacao de sistemas multi-robos com rastreamento ativo de alvo para monitoramento de ambientes,AYLA DEBORA DANTAS DE SOUZA REBOUCAS,LEONARDO VIDAL BATISTA
"avaliacao da qualidade de vida no trabalho (qvt), segundo a percepcao dos trabalhadores numa empresa  distribuidora de energia da paraiba",ANAND SUBRAMANIAN,LUIZ BUENO DA SILVA
sustentabilidade na construcao civil: uma comparacao entre empresas certificadas e nao certificadas,ANAND SUBRAMANIAN,MARIA SILENE ALEXANDRE LEITE
identificacao das abordagens de custos logisticos no setor portuario,LUCIANO COSTA SANTOS,MARIA DE LOURDES BARRETO GOMES
a busca da eco-eficiencia com o apoio da analise de ciclo de vida,ANAND SUBRAMANIAN,LUIZ BUENO DA SILVA
identificacao de potencialidades do transporte cicloviario em areas urbanas,HUGO LEONARDO DAVI DE SOUZA CAVALCANTE,MAILSON MONTEIRO DO REGO
"caracterizacao clinica, radiografica e epidemiologica dos pacientes com artrite psoriasica acompanhados no ambulatorio de reumatologia do hospital universitario lauro wanderley (hulw)",IAPONIRA CORTEZ COSTA DE OLIVEIRA,RILVA LOPES DE SOUSA MUNOZ
verificar a ocorrencia e o perfil clinico e epidemiologico dos pacientes idosos quanto a presenca de osteoartrite (oa) atendidos no ambulatorio de reumatologia do hospital universitario lauro wanderley (hulw),JACICARLOS LIMA DE ALENCAR,VALDEREZ ARAUJO DE LIMA RAMOS
protocolo de analgesia contnua com fentanil em ps-operatrio de cirurgia cardaca com esternotomia,GILKA PAIVA OLIVEIRA COSTA,MAURUS MARQUES DE ALMEIDA HOLANDA
correlacao entre a doenca hepatica gordurosa nao alcoolica (dhgna) e risco cardiovascular em pacientes do hospital universitario lauro wanderley,LEINA YUKARI ETTO,MAURUS MARQUES DE ALMEIDA HOLANDA
satisfacao do alunado de graduacao com aulas praticas de   medicina interna em um hospital universitario,DARLENE CAMATI PERSUHN,JACICARLOS LIMA DE ALENCAR
"um framework logico para sistemas concorrentes epistemicos, temporais e espaciais",ALISSON VASCONCELOS DE BRITO,IGUATEMI EDUARDO DA FONSECA
prevalencia de doenca arterial coronariana nos hipertensos arteriais no hospital universitario lauro wanderley,IAPONIRA CORTEZ COSTA DE OLIVEIRA,VALDEREZ ARAUJO DE LIMA RAMOS
desenvolvimento e avaliacao de um programa educacional assistido por computador para aperfeicoamento em interpretacao de cardiotocografia,EDUARDO HENRIQUE DE MOURA RAMOS,GUALTER LISBOA RAMALHO
correlacao entre os aspectos morfologicos ultrassonograficos do cancer de mama e a imunohistoquimica,EDUARDO SERGIO SOARES SOUSA,GUALTER LISBOA RAMALHO
avaliacao da concordancia intraobservador e interobservadores na interpretacao de cardiotocografia,ANGELA DE SIQUEIRA FIGUEIREDO,GILKA PAIVA OLIVEIRA COSTA
estudo epidemiologico de internacoes por herpes zoster,EDUARDO HENRIQUE DE MOURA RAMOS,JACICARLOS LIMA DE ALENCAR
avaliacao da eficacia e seguranca do rituximabe em esclerose sistemica: estudo do tipo caso-controle em pacientes do servico de reumatologia de um hospital universitario,ARISTIDES MEDEIROS LEITE,LEINA YUKARI ETTO
avaliacao das manifestacoes clinicas em pacientes portadores de lupus eritematoso sistemico e pacientes portadores de lupus eritematoso sistemico associado a doenca de hashimoto,ESTHER BASTOS PALITOT,MAURUS MARQUES DE ALMEIDA HOLANDA
analise dos niveis sericos de 25-hidroxivitamina d [25(oh)d] em pacientes com neoplasias.,CLAUDIO SERGIO MEDEIROS PAIVA,VALDEREZ ARAUJO DE LIMA RAMOS
"analise da incidencia, da prevalencia e da sobrevida nos diferentes subtipos de linfoma em um servico de referencia no municipio de joao pessoa - pb.",CLAUDIO SERGIO MEDEIROS PAIVA,EUTILIA ANDRADE MEDEIROS FREIRE
prevalencia dos tumores do sistema nervoso central no centro especializado de diagnostico do cancer da paraiba de 2003 a 2014,ANGELA DE SIQUEIRA FIGUEIREDO,ZAILTON BEZERRA DE LIMA JUNIOR
cosmologia de neutrinos estereis,JORGE GABRIEL GOMES DE SOUZA RAMOS,MARCOS CESAR SANTOS ORIA
saude sexual de mulheres lupicas atendidas em hospital de referencia para tratamento de lupus eritematoso sistemico,EDUARDO SERGIO SOARES SOUSA,SEVERINO AIRES DE ARAUJO NETO
abordagens propedeuticas e terapeuticas previas as histerectomias realizadas no hospital universitario,ANDRE TELIS DE VILELA ARAUJO,IAPONIRA CORTEZ COSTA DE OLIVEIRA
contracepcao segura na adolescencia: realidade ou utopia?,DARLENE CAMATI PERSUHN,EUTILIA ANDRADE MEDEIROS FREIRE
avaliacao da dificuldade tecnica e dor na insercao de dispositivo intrauterino em pacientes atendidas no servico de ginecologia de um hospital universitario,ALESSANDRA SOUSA BRAZ CALDAS DE ANDRADE,FLAVIA CRISTINA FERNANDES PIMENTA
"dose minima eficaz de bupivacaina hiperbarica a 0,5% em raquianestesia para cesariana",ANDRE TELIS DE VILELA ARAUJO,RILVA LOPES DE SOUSA MUNOZ
colecistectomia videolaparoscopica: comparacao entre diferentes modelos de pressao intra-abdominal,ANGELA DE SIQUEIRA FIGUEIREDO,EUTILIA ANDRADE MEDEIROS FREIRE
tiquinho de alegria: a palhacoterapia como estrategia de humanizacao da assistencia a crianca hospitalizada,ANDRE TELIS DE VILELA ARAUJO,RILVA LOPES DE SOUSA MUNOZ
"autismo, familia e cuidadores: os desafios e a necessidade da inclusao no municipio de joao pessoa",DARLENE CAMATI PERSUHN,IAPONIRA CORTEZ COSTA DE OLIVEIRA
acuracia e reprodutibilidade da percussao limitante para hepatimetria clinica de pacientes adultos,EUTILIA ANDRADE MEDEIROS FREIRE,LUCIO ROBERTO CANCADO CASTELLANO
avaliacao dos criterios definidores de febre hemorragica da dengue,MARILIA GABRIELA DOS SANTOS CAVALCANTI,ZAILTON BEZERRA DE LIMA JUNIOR
avaliacao da eficiencia do programa bolsa familia nos estados do brasil utilizando o metodo de analise envoltoria de dados (dea),HEMILIO FERNANDES CAMPOS COELHO,LAZARO DE SOUTO ARAUJO
"fisica dos neutrinos, materia escura e massa do higgs em extensoes do modelo padrao supersimetrico minimo",HUGO LEONARDO DAVI DE SOUZA CAVALCANTE,MARCOS CESAR SANTOS ORIA
"caracterizacao da prevalencia de infeccoes parasitarias, bacterianas e virais no pre-natal em gestantes infectadas por hiv/aids atendidas no hospital universitario lauro wanderley, joao pessoa/pb",GILKA PAIVA OLIVEIRA COSTA,VALDEREZ ARAUJO DE LIMA RAMOS
aspectos clinicos e cirurgicos nas malformacoes da juncao craniovertebral,GUALTER LISBOA RAMALHO,LEINA YUKARI ETTO
analise das malformacoes vasculares do sistema nervoso central,ALESSANDRA SOUSA BRAZ CALDAS DE ANDRADE,ZAILTON BEZERRA DE LIMA JUNIOR
adequacao da escala de depressao geriatrica ao idoso internado: estudo comparativo com a subescala de sintomas depressivos da edah,ALESSANDRA SOUSA BRAZ CALDAS DE ANDRADE,GUALTER LISBOA RAMALHO
assimilacao do consenso internacional sobre a sindrome de resposta inflamatoria sistemica por parte dos medicos residentes do hulw,ANDRE TELIS DE VILELA ARAUJO,MAURUS MARQUES DE ALMEIDA HOLANDA
risco de ulceracao dos pes em diabeticos idosos acompanhados ambulatoriamente na atencao terciaria: estudo comparativo com idosos nao diabeticos,CLAUDIO SERGIO MEDEIROS PAIVA,JACICARLOS LIMA DE ALENCAR
avaliacao craniometricas em populacoes do nordeste brasileiro por ressonancia magnetica: parametros diagnosticos da platibasia,DARLENE CAMATI PERSUHN,LEINA YUKARI ETTO
filtros digitais na deteccao de acidente vascular cerebral isquemico agudo e subagudo,EDUARDO HENRIQUE DE MOURA RAMOS,LUCIO ROBERTO CANCADO CASTELLANO
analise de fatores contribuintes para a mortalidade neonatal em uma maternidade publica no municipio de joao pessoa - pb,ANGELA DE SIQUEIRA FIGUEIREDO,GILKA PAIVA OLIVEIRA COSTA
fatores preditivos de aumento de permanencia hospitalar em candidatos a colecistectomia videolaparoscopica,EDUARDO SERGIO SOARES SOUSA,RILVA LOPES DE SOUSA MUNOZ
"dinamica nao-linear, caos e complexidade",JORGE GABRIEL GOMES DE SOUZA RAMOS,MARCOS CESAR SANTOS ORIA
avaliacao da resistencia de uniao de compositos do tipo bulk fill,MARIA SUELI MARQUES SOARES,ROSANGELA MARQUES DUARTE
"avaliacao do cuidado em saude bucal nos pacientes pediatricos oncologicos assistidos em um hospital de referencia, na cidade de joao pessoa/pb  estudo longitudinal",ANA KARINA MACIEL DE ANDRADE,ROBERTA MOREIRA FRANCA
prevalencia da sindrome de burnout e sua associacao com disfuncao temporomandibular (dtm) em estudantes de odontologia da universidade federal da paraiba,DAYANE FRANCO BARROS MANGUEIRA LEITE,MARIA SUELI MARQUES SOARES
"trauma dentofacial em praticantes de lutas marciais: uma avaliacao da prevalencia, conhecimento, uso de protetor bucal e sinais e sintomas de disfuncao temporomandibular (dtm).",FABIO LUIZ CUNHA DASSUNCAO,THIAGO FARIAS ROCHA LIMA
avaliacao de propriedades fisicas e mecanicas de resina acrilica para provisorios apos a desinfeccao em diferentes solucoes,LUCIO ROBERTO CANCADO CASTELLANO,ROSANGELA MARQUES DUARTE
avaliacao in vitro de meriais fluoretados apos processo de desmineralizacao e remineralizacao do esmalte dentario,ANDREA SARMENTO QUEIROGA,ROBINSOM VIEGAS MONTENEGRO
metodos e dificuldades de aleitamento materno em criancas portadoras de fissura labiopalatina,FRANKLIN DELANO SOARES FORTE,SABRINA GARCIA DE AQUINO
potencial erosivo de chas industrializadas no esmalte dentario,ANDRE ULISSES DANTAS BATISTA,ROSENES LIMA DOS SANTOS
avaliacao do potencial remineralizador de dentifricios fluoretados em lesoes de carie artificial,ANDRE ULISSES DANTAS BATISTA,RICARDO DIAS DE CASTRO
aplicabilidade dos metodos de carrea original e modificado na estimativa da estatura humana,FABIO LUIZ CUNHA DASSUNCAO,SONIA SAEGER MEIRELES MONTE RASO
teoria de matrizes aleatorias: caos quantico e universalidade em nanoestruturas,CARLOS ANTONIO DE SOUSA PIRES,PAULO SERGIO RODRIGUES DA SILVA
"estimativa de idade pelo metodo de nicodemo, moraes e medici filho (1974) em radiografias panoramicas",DAYANE FRANCO BARROS MANGUEIRA LEITE,ROBERTA MOREIRA FRANCA
avaliacao da atividade antimicrobiana e estabilidade de colutorios bucais tradicionais e naturais comercializados em joao pessoa/pb,HELOISA HELENA PINHO VELOSO,SONIA SAEGER MEIRELES MONTE RASO
consumo de refrigerantes na cidade de joao pessoa: aceitacao da lei estadual no 10.431 e conhecimento sobre erosao e carie dentaria no ambiente escolar,ANDRESSA FEITOSA BEZERRA DE OLIVEIRA,ROSENES LIMA DOS SANTOS
principais motivos das consultas medicas de gestantes no hulw e seu entendimento da prevencao das doencas do periodo gestacional,ANDRE ULISSES DANTAS BATISTA,ROSANGELA MARQUES DUARTE
"estudo longitudinal da carie dentaria, ma oclusao e padrao facial em escolares de 5 e 12 anos de joao pessoa ? paraiba",FRANKLIN DELANO SOARES FORTE,ROBINSOM VIEGAS MONTENEGRO
analise in vivo da acao de dentifricio fluoretado contendo hidrocoloide (goma tara) sobre o biofilme dental,ELOISA LORENZO DE AZEVEDO GHERSEL,FABIO LUIZ CUNHA DASSUNCAO
percepcao de lideranca e gestao de consultorios dos estudantes no terceiro ano do curso de odontologia da universidade federal da paraiba,DAYANE FRANCO BARROS MANGUEIRA LEITE,MARIA SUELI MARQUES SOARES
estudo observacional da exposicao a lesoes percutaneas na clinica de endodontia da ufpb,ANDRE ULISSES DANTAS BATISTA,RICARDO DIAS DE CASTRO
portfolios: o que revelam sobre a formacao profissional?,ANDREA SARMENTO QUEIROGA,ROSENES LIMA DOS SANTOS
analise espectrofotometrica de alteracoes colorimetricas de compositos imersos em colutorios bucais a base de clorexidina  ?  estudo in vitro,ANDRESSA FEITOSA BEZERRA DE OLIVEIRA,TALITHA RODRIGUES RIBEIRO FERNANDES PESSOA
dinamica nao-linear com lasers e circuitos eletronicos,CARLOS ANTONIO DE SOUSA PIRES,THIERRY MARCELINO PASSERAT DE SILANS
analise do protocolo da periodontite apical assintomatica (paa) utilizado nas universidades federais das capitais brasileiras,ANDREA GADELHA RIBEIRO TARGINO,PATRICIA MOREIRA RABELLO
avaliacao do conhecimento sobre avulsao dentaria dos cirurgioes-dentistas das unidades basicas de saude do municipio de joao pessoa - pb,DAYANE FRANCO BARROS MANGUEIRA LEITE,ROBERTA MOREIRA FRANCA
avaliacao antimicrobiana de antibioticos toxicos nanoencapsulados,JULIANA ALVES VALE,ROBERTO SASSI
identificacao de substancias que atuam no processo de calcificacao do biofilme dental e alteracoes salivares,FRANKLIN DELANO SOARES FORTE,TALITHA RODRIGUES RIBEIRO FERNANDES PESSOA
analises odontometricas dos caninos na determinacao do sexo,ANDREA GADELHA RIBEIRO TARGINO,THIAGO FARIAS ROCHA LIMA
"a contribuicao da papiloscopia, rugoscopia e queiloscopia para a odontologia forense",FABIO CORREIA SAMPAIO,SONIA SAEGER MEIRELES MONTE RASO
"a papiloscopia, rugoscopia e queiloscopia aplicadas na odontologia forense",ANDRESSA FEITOSA BEZERRA DE OLIVEIRA,HELOISA HELENA PINHO VELOSO
atividade antifungica do (+)-alfa-pineno e (+)-beta-pineno sobre cepas de candida tropicalis e candida krusei,FABIO LUIZ CUNHA DASSUNCAO,HELOISA HELENA PINHO VELOSO
percepcao da visao critico-reflexiva dos alunos de graduacao no estagio regional interprofissional da ufpb como promotores de saude publica,GERMANA COELI DE FARIAS SALES,ROSANGELA MARQUES DUARTE
avaliacao do efeito da imersao em saliva artificial na resistencia a flexao de tres materiais usados para provisorios.,ANDREA SARMENTO QUEIROGA,SONIA SAEGER MEIRELES MONTE RASO
estudos de interacoes fundamentais em superficie e difusao de fotons em um vapor atomico ressonante,JORGE GABRIEL GOMES DE SOUZA RAMOS,PAULO SERGIO RODRIGUES DA SILVA
"influencia da fotoativacao e da degradacao hidrolitica nas propriedades de compositos de nanoparticulas, microhibrido e de baixa viscosidade bulk fill.",FRANKLIN DELANO SOARES FORTE,RICARDO DIAS DE CASTRO
estudo in vitro da rugosidade superficial de compositos apos a acao de colutorios bucais a base de clorexidina,ANDREA GADELHA RIBEIRO TARGINO,TALITHA RODRIGUES RIBEIRO FERNANDES PESSOA
sintese e atividade antimicrobiana de whiskers de quitosana conjugados ou nao a nanoparticulas de prata,BIANCA MARQUES SANTIAGO,ROBINSOM VIEGAS MONTENEGRO
eficacia e seguranca do clareamento dental caseiro em individuos com restauracoes esteticas,ANA KARINA MACIEL DE ANDRADE,LUCIANE QUEIROZ MOTA DE LIMA
avaliacao do curso de odontologia da universidade federal da paraiba: uma nova perspectiva,ANA KARINA MACIEL DE ANDRADE,ROBERTA MOREIRA FRANCA
influencia de medicacoes intracanais na variacao do ph da superficie radicular em reabsorcoes externas simuladas,ANDREA GADELHA RIBEIRO TARGINO,ROSENES LIMA DOS SANTOS
avaliacao de proposta de qualificacao de recursos humanos e programacao no programa saude da familia,ANDREA SARMENTO QUEIROGA,MARIA SUELI MARQUES SOARES
desenvolvimento de limpadores de protese dentaria a base de produtos naturais,ANDRESSA FEITOSA BEZERRA DE OLIVEIRA,ROBINSOM VIEGAS MONTENEGRO
modelos de atencao em saude bucal,ANA KARINA MACIEL DE ANDRADE,HELOISA HELENA PINHO VELOSO
isolamento de moleculas bioativas oriundas de organismos marinhos do litoral nordestino,KRISTERSON REINALDO DE LUNA FREIRE,MARIA DE FATIMA VANDERLEI DE SOUZA
"extensoes de gauge do modelo padrao eletrofraco, supersimetria e a materia escura no universo",MARTINE PATRICIA ARLTTE CHEVROLLER,VALDIR BARBOSA BEZERRA
isolamento de moleculas bioativas oriundas de especies de piper da paraiba,HEMERSON IURY FERREIRA MAGALHAES,KRISTERSON REINALDO DE LUNA FREIRE
investigacao toxicologica de derivado imidazolidinico,BARBARA VIVIANA DE OLIVEIRA SANTOS,MARIA DE FATIMA VANDERLEI DE SOUZA
esteres derivados de acido fenilpropanoico e atividade biologica,KRISTERSON REINALDO DE LUNA FREIRE,MARCELO SOBRAL DA SILVA
esteres fenilpropanoico metoxilados e atividade biologica,HEMERSON IURY FERREIRA MAGALHAES,MARCELO SOBRAL DA SILVA
desenvolvimento de nanoparticulas contendo candidato a farmaco para tratamento da hipertensao arterial: preparacao de complexos de inclusao em ciclodextrina,DAMIAO PERGENTINO DE SOUSA,JOSEAN FECHINE TAVARES
desenvolvimento de metodologias analiticas para implantacao em servicos emergenciais relacionadas as analises toxicologicas,JOSE MARIA BARBOSA FILHO,MARIA DE FATIMA VANDERLEI DE SOUZA
contribuicao para determinacao de agrotoxicos e fungos produtores de micotoxinas em amostras de arroz (oryza sativa l.) comercializados em mercados publicos da cidade de joao pessoa,DAMIAO PERGENTINO DE SOUSA,JOSE MARIA BARBOSA FILHO
etiologia bacterianadas ulceras por pressao associada a ocorrencia de multiresistencia no ambiente hospitalar,ANGELA AMORIM DE ARAUJO,MARIA BERNADETE DE SOUSA COSTA
"aplicacao da espectrofotometria de absorcao no infravermelho na caracterizacao e identificacao de plantas de interesse do sus, ocorrentes no nordeste do brasil",ELISANGELA AFONSO DE MOURA MENDONCA,VICENTE CARLOS DE OLIVEIRA COSTA
caracterizacao do efeito do liofilizado do extrato hidroalcoolico da casca da raiz de dioclea grandiflora sobre a funcao eretil de ratos,CALIANDRA MARIA BEZERRA LUNA LIMA,HEMERSON IURY FERREIRA MAGALHAES
interacao de atomos com superficies e campos externos.,HUGO LEONARDO DAVI DE SOUZA CAVALCANTE,MARCOS CESAR SANTOS ORIA
"avaliacao dos efeitos cardiovasculares induzidos pelo liofilizado do vinho tinto rio sol do vale do sao francisco, cepa da uva cabernnet sauvignon",CALIANDRA MARIA BEZERRA LUNA LIMA,VICENTE CARLOS DE OLIVEIRA COSTA
estudo quimico biomonitorado de plantas medicinais da paraiba: ecossistema caatinga,ISAC ALMEIDA DE MEDEIROS,HEMERSON IURY FERREIRA MAGALHAES
estudo fitoquimico de plantas de interesse medicinal: uma abordagem por clae-dad,BARBARA VIVIANA DE OLIVEIRA SANTOS,IOLANDA BESERRA DA COSTA SANTOS
sintese de analogos da clovamida,ISAC ALMEIDA DE MEDEIROS,IOLANDA BESERRA DA COSTA SANTOS
"estudo da atividade gastroprotetora, antidiarreica e de efeitos na motilidade gastrintestinal de extratos brutos e constituintes ativos obtidos de produtos naturais em modelos animais",DAMIAO PERGENTINO DE SOUSA,MARGARETH DE FATIMA FORMIGA MELO DINIZ
avaliacao do perfil farmacocinetico de produtos naturais,IOLANDA BESERRA DA COSTA SANTOS,LEONIA MARIA BATISTA
busca de bioativos em especies medicinais da flora paraibana,BARBARA VIVIANA DE OLIVEIRA SANTOS,IONALDO JOSE LIMA DINIZ BASILIO
avaliacao da toxicidade nao-clinica do extrato etanolico bruto e fracoes de sida rhombifolia l. em roedores,CALIANDRA MARIA BEZERRA LUNA LIMA,MARCELO SOBRAL DA SILVA
estudo bioanalitico do infuso de cissampelos sympodialis associados a estudos nao clinicos,ISAC ALMEIDA DE MEDEIROS,VICENTE CARLOS DE OLIVEIRA COSTA
estudo fitoquimico com fins farmacologicos de waltheria viscosissima a.st. hil (malvaceae),CALIANDRA MARIA BEZERRA LUNA LIMA,MARCELO SOBRAL DA SILVA
sobre alguns aspectos da cosmologia newtoniana,CARLOS ANTONIO DE SOUSA PIRES,PAULO SERGIO RODRIGUES DA SILVA
estudo fitoquimico com fins farmacologicos de pavonia glazioviana gurke (malvaceae),ISAC ALMEIDA DE MEDEIROS,JOSE MARIA BARBOSA FILHO
desenvolvimento de metodologias analiticas para determinacao e quantificacao de constituintes fenolicos em especies de lamiaceae,JOSE MARIA BARBOSA FILHO,MARIA DE FATIMA VANDERLEI DE SOUZA
primeira semana saude integral: construcao e validacao de instrumento para visita domiciliar ao recem-nascido,ANGELA AMORIM DE ARAUJO,MARIA ADELAIDE SILVA PAREDES MOREIRA
hiv/aids:  qualidade de vida de pessoas idosas,JOAO EUCLIDES FERNANDES BRAGA,MARIA MIRIAM LIMA DA NOBREGA
avaliacao das admissoes hospitalares por insuficiencia cardiaca,FRANCILEIDE DE ARAUJO RODRIGUES,JOSILENE DE MELO BURITI VASCONCELOS
fatores de risco para o desenvolvimento do pe diabetico ? revisao bibliometrica,EDILENE ARAUJO MONTEIRO,MARIA DE LOURDES DE FARIAS PONTES
violencia contra idosos em uma capital do nordeste,KATIA NEYLA DE FREITAS MACEDO,MIRIAN ALVES DA SILVA
cuidados paliativos e modelo calgary de avaliacao e intervencao na familia,JOAO EUCLIDES FERNANDES BRAGA,SANDRA APARECIDA DE ALMEIDA
subconjunto terminologico da classificacao internacional para a pratica de enfermeiras para a mulher idosa no contexto de vulnerabilidades ao hiv/aids,JOAO EUCLIDES FERNANDES BRAGA,SANDRA APARECIDA DE ALMEIDA
quedas e risco de lesoes em ambientes hospitalares,FRANCILEIDE DE ARAUJO RODRIGUES,SANDRA APARECIDA DE ALMEIDA
viabilidade de blendas de oleos vegetais comestiveis para uso como alimento nutraceutico,LILIANA DE FATIMA BEZERRA LIRA DE PONTES,SILMAR ANDRADE DO MONTE
avaliacao da ansiedade em profissionais de nivel superior dos centros de atencao psicossocial (caps) da paraiba,KATIA NEYLA DE FREITAS MACEDO,MARIA DE LOURDES DE FARIAS PONTES
avaliacao da eficacia do relaxamento respiratorio sobre manifestacoes de ansiedade em alcoolistas em atendimento em um caps ad,MARIA ADELAIDE SILVA PAREDES MOREIRA,MARIA EMILIA LIMEIRA LOPES
a aids e as mulheres indigenas: representacoes sociais na etnia potiguara,IOLANDA BESERRA DA COSTA SANTOS,SANDRA APARECIDA DE ALMEIDA
a ulcera por pressao nos diversos contextos do ensino e do cuidado em saude,KATIA NEYLA DE FREITAS MACEDO,MARTA MIRIAM LOPES COSTA CUNHA
"sobrecarga, estresse e pensamento suicida  de cuidadores de pacientes com sequela de acidente vascular encefalico",ANGELA AMORIM DE ARAUJO,MARIA BERNADETE DE SOUSA COSTA
retardo do diagnostico da tuberculose em pessoas idosas: acoes do enfermeiro em municipios da regiao da grande joao pessoa - pb,ANA CLAUDIA TORRES DE MEDEIROS,MARIA MIRIAM LIMA DA NOBREGA
atendimento e hiv/aids: representacoes sociais de idosos e profissionais das unidades de estrategias de saude da familia,MARIA EMILIA LIMEIRA LOPES,PATRICIA SERPA DE SOUZA BATISTA
saude do trabalhador: gestao de risco e seguranca em hospitais publicos e privados,FRANCILEIDE DE ARAUJO RODRIGUES,MARIA EMILIA LIMEIRA LOPES
distubios do sono: diagnosticos de enfermagem de idosos em atendimento ambulatorialdistubios do sono: diagnosticos de enfermagem de idosos em atendimento ambulatorial,CIZONE MARIA CARNEIRO ACIOLY,MARIA EMILIA LIMEIRA LOPES
fatores relacionados a qualidade de vida de idosos cadastrados nas unidades de saude da familia.,ALTAMIRA PEREIRA DA SILVA REICHERT,MARIA JULIA GUIMARAES OLIVEIRA SOARES
diagnostico ambiental das bacias hidrograficas do litoral sul do estado da paraiba,MARIA BETANIA HERMENEGILDO DOS SANTOS,WILLIAME FARIAS RIBEIRO
qualidade de vida relacionada a saude de pessoas vivendo com hiv/aids: um estudo bibliometrico,EDILENE ARAUJO MONTEIRO,WAGLANIA DE MENDONCA FAUSTINO E FREITAS
"producao cientifica acerca de cuidados paliativos, terminalidade e espiritualidade: um estudo bibliometrico no campo da enfermagem",ALTAMIRA PEREIRA DA SILVA REICHERT,VALERIA PEIXOTO BEZERRA
"processo de cuidar em feridas: educacao em saude, medidas preventivas e novas tecnologias terapeuticas",JORDANA DE ALMEIDA NOGUEIRA,MARIA DAS GRACAS MELO FERNANDES
"processo de cuidar em feridas hansenicas: educacao em saude, medidas preventivas e novas tecnologias terapeuticas.",GREICY KELLY GOUVEIA DIAS BITTENCOURT,MARIA ELIANE MOREIRA FREIRE
"validacao da nomenclatura de diagnosticos, resultados e intervencoes de enfermagem para as unidades clinicas do hospital universitario da ufpb",JACIRA DOS SANTOS OLIVEIRA,MARIA BERNADETE DE SOUSA COSTA
processo de cuidar dos pacientes diabeticos cadastrados na atencao basica em joao pessoa,EDILENE ARAUJO MONTEIRO,MARIA ADELAIDE SILVA PAREDES MOREIRA
"perfil sociodemografico, clinico e terapeutico de pacientes com feridas neoplasicas atendidos em um hospital referencia de joao pessoa - pb",CIZONE MARIA CARNEIRO ACIOLY,MARIA DE LOURDES DE FARIAS PONTES
"processo de cuidar em feridas: educacao em saude, medidas preventivas e novas tecnologias terapeuticas.",FRANCILEIDE DE ARAUJO RODRIGUES,MARIA MIRIAM LIMA DA NOBREGA
condicoes cronicas na infancia: cuidado na atencao primaria a saude,JOAO EUCLIDES FERNANDES BRAGA,SIMONE HELENA DOS SANTOS OLIVEIRA
o cuidar ao idoso assistido na atencao primaria: uma abordagem bioetica,KATIA NEYLA DE FREITAS MACEDO,MARIA DE LOURDES DE FARIAS PONTES
